IdOperacion;FECHA_INICIO;FECHA_FIN;IdUsuario;IdTipoOperacion;NoOperacion;Importe;Estado
OPE001;28/03/2024 08:20;12/04/2024 15:13;USER004;COMPRA01;1;.00€;Correcto
OPE002;28/03/2024 08:20;12/04/2024 00:37;USER002;COMPRA01;2;.00€;Finalizado
OPE003;28/03/2024 08:20;12/04/2024 12:01;USER003;COMPRA01;3;.00€;Error
OPE004;28/03/2024 08:20;12/04/2024 00:45;USER003;COMPRA01;4;.00€;Correcto
OPE005;28/03/2024 08:20;12/04/2024 15:12;USER006;COMPRA01;5;.00€;Error
OPE006;28/03/2024 08:20;12/04/2024 07:57;USER005;COMPRA01;6;.00€;Finalizado
OPE007;28/03/2024 08:20;12/04/2024 07:43;USER007;COMPRA01;7;.00€;Finalizado
OPE008;28/03/2024 08:20;12/04/2024 04:47;USER008;COMPRA01;8;.00€;Correcto
OPE009;28/03/2024 08:20;12/04/2024 03:40;USER007;COMPRA01;9;.00€;Correcto
OPE0010;28/03/2024 08:20;12/04/2024 12:18;USER0010;COMPRA01;10;.00€;Correcto
OPE0011;28/03/2024 08:20;12/04/2024 02:32;USER001;COMPRA01;11;.00€;Error
OPE0012;28/03/2024 08:20;12/04/2024 17:23;USER004;COMPRA01;12;.00€;Finalizado
OPE0013;28/03/2024 08:20;12/04/2024 04:51;USER002;COMPRA01;13;.00€;Error
OPE0014;28/03/2024 08:20;12/04/2024 14:21;USER001;COMPRA01;14;.00€;Correcto
OPE0015;28/03/2024 08:20;12/04/2024 03:44;USER001;COMPRA01;15;.00€;Error
OPE0016;28/03/2024 08:20;12/04/2024 05:57;USER007;COMPRA01;16;.00€;Finalizado
OPE0017;28/03/2024 08:20;12/04/2024 05:43;USER003;COMPRA01;17;.00€;Correcto
OPE0018;28/03/2024 08:20;12/04/2024 06:47;USER0010;COMPRA01;18;.00€;Finalizado
OPE0019;28/03/2024 08:20;12/04/2024 10:58;USER004;COMPRA01;19;.00€;Correcto
OPE0020;28/03/2024 08:20;12/04/2024 01:34;USER007;COMPRA01;20;.00€;Correcto
OPE0021;28/03/2024 08:20;12/04/2024 21:10;USER009;COMPRA01;21;.00€;Correcto
OPE0022;28/03/2024 08:20;12/04/2024 09:46;USER008;COMPRA01;22;.00€;Error
OPE0023;28/03/2024 08:20;12/04/2024 00:56;USER007;COMPRA01;23;.00€;Correcto
OPE0024;28/03/2024 08:20;12/04/2024 02:40;USER003;COMPRA01;24;.00€;Error
OPE0025;28/03/2024 08:20;12/04/2024 08:38;USER007;COMPRA01;25;.00€;Error
OPE0026;28/03/2024 08:20;12/04/2024 09:17;USER003;COMPRA01;26;.00€;Correcto
OPE0027;28/03/2024 08:20;12/04/2024 15:04;USER0010;COMPRA01;27;.00€;Correcto
OPE0028;28/03/2024 08:20;12/04/2024 23:15;USER003;COMPRA01;28;.00€;Error
OPE0029;28/03/2024 08:20;12/04/2024 15:23;USER005;COMPRA01;29;.00€;Finalizado
OPE0030;28/03/2024 08:20;12/04/2024 14:28;USER004;COMPRA01;30;.00€;Error
