IdOperacion;FECHA_INICIO;FECHA_FIN;IdUsuario;IdTipoOperacion;NoOperacion;Importe;Estado
OPE001;22/04/2024 19:35;25/04/2024 09:09;USER007;COMPRA05;1;263.00€;Error
OPE002;22/04/2024 19:35;25/04/2024 18:32;USER0012;COMPRA05;2;557.00€;Error
OPE003;22/04/2024 19:35;25/04/2024 09:04;USER008;COMPRA05;3;643.00€;Correcto
OPE004;22/04/2024 19:35;25/04/2024 05:11;USER009;COMPRA05;4;507.00€;Correcto
OPE005;22/04/2024 19:35;25/04/2024 04:58;USER007;COMPRA05;5;-913.00€;Error
OPE006;22/04/2024 19:35;25/04/2024 18:29;USER009;COMPRA05;6;-931.00€;Finalizado
OPE007;22/04/2024 19:35;25/04/2024 06:05;USER004;COMPRA05;7;824.00€;Finalizado
OPE008;22/04/2024 19:35;25/04/2024 10:43;USER0012;COMPRA05;8;281.00€;Correcto
OPE009;22/04/2024 19:35;25/04/2024 20:13;USER0010;COMPRA05;9;-708.00€;Finalizado
OPE0010;22/04/2024 19:35;25/04/2024 01:48;USER0013;COMPRA05;10;292.00€;Error
OPE0011;22/04/2024 19:35;25/04/2024 20:44;USER0011;COMPRA05;11;-157.00€;Correcto
OPE0012;22/04/2024 19:35;25/04/2024 01:34;USER002;COMPRA05;12;-791.00€;Error
OPE0013;22/04/2024 19:35;25/04/2024 11:17;USER002;COMPRA05;13;-893.00€;Finalizado
OPE0014;22/04/2024 19:35;25/04/2024 07:37;USER005;COMPRA05;14;-446.00€;Finalizado
OPE0015;22/04/2024 19:35;25/04/2024 12:13;USER0010;COMPRA05;15;-24.00€;Finalizado
OPE0016;22/04/2024 19:35;25/04/2024 10:57;USER005;COMPRA05;16;503.00€;Finalizado
OPE0017;22/04/2024 19:35;25/04/2024 02:41;USER0012;COMPRA05;17;50.00€;Error
OPE0018;22/04/2024 19:35;25/04/2024 17:27;USER002;COMPRA05;18;79.00€;Finalizado
OPE0019;22/04/2024 19:35;25/04/2024 01:31;USER007;COMPRA05;19;-628.00€;Error
OPE0020;22/04/2024 19:35;25/04/2024 00:35;USER003;COMPRA05;20;192.00€;Finalizado
OPE0021;22/04/2024 19:35;25/04/2024 00:37;USER005;COMPRA05;21;-49.00€;Error
OPE0022;22/04/2024 19:35;25/04/2024 05:23;USER002;COMPRA05;22;177.00€;Correcto
OPE0023;22/04/2024 19:35;25/04/2024 20:26;USER008;COMPRA05;23;33.00€;Error
OPE0024;22/04/2024 19:35;25/04/2024 11:38;USER009;COMPRA05;24;321.00€;Correcto
OPE0025;22/04/2024 19:35;25/04/2024 03:10;USER007;COMPRA05;25;-758.00€;Correcto
OPE0026;22/04/2024 19:35;25/04/2024 14:29;USER005;COMPRA05;26;-355.00€;Correcto
OPE0027;22/04/2024 19:35;25/04/2024 09:20;USER003;COMPRA05;27;452.00€;Correcto
OPE0028;22/04/2024 19:35;25/04/2024 07:54;USER009;COMPRA05;28;859.00€;Correcto
OPE0029;22/04/2024 19:35;25/04/2024 16:30;USER0012;COMPRA05;29;-416.00€;Finalizado
OPE0030;22/04/2024 19:35;25/04/2024 10:33;USER0013;COMPRA05;30;957.00€;Finalizado
OPE0031;22/04/2024 19:35;25/04/2024 17:14;USER0013;COMPRA05;31;-224.00€;Error
OPE0032;22/04/2024 19:35;25/04/2024 23:46;USER002;COMPRA05;32;986.00€;Finalizado
OPE0033;22/04/2024 19:35;25/04/2024 16:39;USER007;COMPRA05;33;52.00€;Finalizado
OPE0034;22/04/2024 19:35;25/04/2024 16:09;USER006;COMPRA05;34;-752.00€;Finalizado
OPE0035;22/04/2024 19:35;25/04/2024 11:10;USER0012;COMPRA05;35;203.00€;Correcto
OPE0036;22/04/2024 19:35;25/04/2024 01:23;USER005;COMPRA05;36;-332.00€;Correcto
OPE0037;22/04/2024 19:35;25/04/2024 05:57;USER006;COMPRA05;37;339.00€;Finalizado
OPE0038;22/04/2024 19:35;25/04/2024 16:52;USER005;COMPRA05;38;544.00€;Finalizado
OPE0039;22/04/2024 19:35;25/04/2024 18:07;USER002;COMPRA05;39;523.00€;Finalizado
OPE0040;22/04/2024 19:35;25/04/2024 18:51;USER004;COMPRA05;40;766.00€;Finalizado
OPE0041;22/04/2024 19:35;25/04/2024 20:17;USER0011;COMPRA05;41;812.00€;Finalizado
OPE0042;22/04/2024 19:35;25/04/2024 12:47;USER005;COMPRA05;42;-811.00€;Correcto
OPE0043;22/04/2024 19:35;25/04/2024 19:25;USER006;COMPRA05;43;669.00€;Correcto
OPE0044;22/04/2024 19:35;25/04/2024 17:07;USER0011;COMPRA05;44;183.00€;Finalizado
OPE0045;22/04/2024 19:35;25/04/2024 19:09;USER008;COMPRA05;45;-975.00€;Error
OPE0046;22/04/2024 19:35;25/04/2024 05:23;USER004;COMPRA05;46;-156.00€;Error
OPE0047;22/04/2024 19:35;25/04/2024 11:06;USER0013;COMPRA05;47;-642.00€;Finalizado
OPE0048;22/04/2024 19:35;25/04/2024 10:48;USER003;COMPRA05;48;399.00€;Correcto
OPE0049;22/04/2024 19:35;25/04/2024 18:35;USER002;COMPRA05;49;449.00€;Error
OPE0050;22/04/2024 19:35;25/04/2024 08:50;USER0011;COMPRA05;50;492.00€;Finalizado
