IdOperacion;FECHA_INICIO;FECHA_FIN;IdUsuario;IdTipoOperacion;NoOperacion;Importe;Estado
OPE001;05/04/2024 03:03;05/04/2024 21:05;USER004;COMPRA01;1;.00€;Finalizado
OPE002;05/04/2024 03:03;05/04/2024 13:57;USER003;COMPRA01;2;.00€;Error
OPE003;05/04/2024 03:03;05/04/2024 09:00;USER004;COMPRA01;3;.00€;Finalizado
OPE004;05/04/2024 03:03;05/04/2024 00:54;USER002;COMPRA01;4;.00€;Finalizado
OPE005;05/04/2024 03:03;05/04/2024 11:01;USER004;COMPRA01;5;.00€;Finalizado
OPE006;05/04/2024 03:03;05/04/2024 07:18;USER005;COMPRA01;6;.00€;Error
OPE007;05/04/2024 03:03;05/04/2024 18:58;USER004;COMPRA01;7;.00€;Correcto
OPE008;05/04/2024 03:03;05/04/2024 01:03;USER005;COMPRA01;8;.00€;Finalizado
OPE009;05/04/2024 03:03;05/04/2024 23:22;USER002;COMPRA01;9;.00€;Finalizado
OPE0010;05/04/2024 03:03;05/04/2024 12:28;USER004;COMPRA01;10;.00€;Correcto
OPE0011;05/04/2024 03:03;05/04/2024 08:20;USER005;COMPRA01;11;.00€;Error
OPE0012;05/04/2024 03:03;05/04/2024 13:13;USER002;COMPRA01;12;.00€;Error
OPE0013;05/04/2024 03:03;05/04/2024 09:38;USER001;COMPRA01;13;.00€;Finalizado
OPE0014;05/04/2024 03:03;05/04/2024 06:01;USER002;COMPRA01;14;.00€;Correcto
OPE0015;05/04/2024 03:03;05/04/2024 08:25;USER001;COMPRA01;15;.00€;Error
OPE0016;05/04/2024 03:03;05/04/2024 09:20;USER003;COMPRA01;16;.00€;Correcto
OPE0017;05/04/2024 03:03;05/04/2024 17:08;USER003;COMPRA01;17;.00€;Correcto
OPE0018;05/04/2024 03:03;05/04/2024 10:50;USER001;COMPRA01;18;.00€;Error
OPE0019;05/04/2024 03:03;05/04/2024 18:27;USER003;COMPRA01;19;.00€;Correcto
OPE0020;05/04/2024 03:03;05/04/2024 02:39;USER004;COMPRA01;20;.00€;Error
OPE0021;05/04/2024 03:03;05/04/2024 02:18;USER004;COMPRA01;21;.00€;Finalizado
OPE0022;05/04/2024 03:03;05/04/2024 14:57;USER002;COMPRA01;22;.00€;Finalizado
OPE0023;05/04/2024 03:03;05/04/2024 20:37;USER003;COMPRA01;23;.00€;Finalizado
OPE0024;05/04/2024 03:03;05/04/2024 04:55;USER001;COMPRA01;24;.00€;Finalizado
OPE0025;05/04/2024 03:03;05/04/2024 18:15;USER001;COMPRA01;25;.00€;Correcto
