IdOperacion;FECHA_INICIO;FECHA_FIN;IdUsuario;IdTipoOperacion;NoOperacion;Importe;Estado
OPE001;10/04/2024 16:58;10/04/2024 04:12;USER008;COMPRA01;1;-350.00€;Error
OPE002;10/04/2024 16:58;10/04/2024 01:51;USER001;COMPRA01;2;287.00€;Finalizado
OPE003;10/04/2024 16:58;10/04/2024 18:31;USER007;COMPRA01;3;-273.00€;Error
OPE004;10/04/2024 16:58;10/04/2024 22:01;USER002;COMPRA01;4;299.00€;Error
OPE005;10/04/2024 16:58;10/04/2024 02:18;USER003;COMPRA01;5;-924.00€;Error
OPE006;10/04/2024 16:58;10/04/2024 15:29;USER001;COMPRA01;6;321.00€;Error
OPE007;10/04/2024 16:58;10/04/2024 03:14;USER004;COMPRA01;7;86.00€;Error
OPE008;10/04/2024 16:58;10/04/2024 00:36;USER001;COMPRA01;8;-396.00€;Correcto
OPE009;10/04/2024 16:58;10/04/2024 02:04;USER007;COMPRA01;9;-353.00€;Finalizado
OPE0010;10/04/2024 16:58;10/04/2024 03:25;USER006;COMPRA01;10;-215.00€;Correcto
OPE0011;10/04/2024 16:58;10/04/2024 01:52;USER003;COMPRA01;11;859.00€;Correcto
OPE0012;10/04/2024 16:58;10/04/2024 13:50;USER007;COMPRA01;12;163.00€;Correcto
OPE0013;10/04/2024 16:58;10/04/2024 05:53;USER007;COMPRA01;13;-108.00€;Correcto
OPE0014;10/04/2024 16:58;10/04/2024 03:07;USER001;COMPRA01;14;1.00€;Error
OPE0015;10/04/2024 16:58;10/04/2024 00:18;USER001;COMPRA01;15;-708.00€;Error
OPE0016;10/04/2024 16:58;10/04/2024 20:56;USER008;COMPRA01;16;-489.00€;Error
OPE0017;10/04/2024 16:58;10/04/2024 06:53;USER008;COMPRA01;17;17.00€;Finalizado
OPE0018;10/04/2024 16:58;10/04/2024 00:52;USER008;COMPRA01;18;-502.00€;Finalizado
OPE0019;10/04/2024 16:58;10/04/2024 06:30;USER006;COMPRA01;19;-506.00€;Error
OPE0020;10/04/2024 16:58;10/04/2024 20:49;USER005;COMPRA01;20;-81.00€;Finalizado
OPE0021;10/04/2024 16:58;10/04/2024 13:51;USER003;COMPRA01;21;14.00€;Error
OPE0022;10/04/2024 16:58;10/04/2024 18:36;USER005;COMPRA01;22;-106.00€;Error
OPE0023;10/04/2024 16:58;10/04/2024 03:46;USER002;COMPRA01;23;-92.00€;Error
OPE0024;10/04/2024 16:58;10/04/2024 17:37;USER005;COMPRA01;24;-779.00€;Error
OPE0025;10/04/2024 16:58;10/04/2024 00:30;USER006;COMPRA01;25;744.00€;Correcto
OPE0026;10/04/2024 16:58;10/04/2024 03:15;USER008;COMPRA01;26;-135.00€;Correcto
OPE0027;10/04/2024 16:58;10/04/2024 04:25;USER001;COMPRA01;27;937.00€;Finalizado
OPE0028;10/04/2024 16:58;10/04/2024 14:59;USER008;COMPRA01;28;237.00€;Finalizado
OPE0029;10/04/2024 16:58;10/04/2024 06:40;USER004;COMPRA01;29;-110.00€;Finalizado
OPE0030;10/04/2024 16:58;10/04/2024 21:01;USER008;COMPRA01;30;-847.00€;Finalizado
OPE0031;10/04/2024 16:58;10/04/2024 11:56;USER003;COMPRA01;31;434.00€;Finalizado
OPE0032;10/04/2024 16:58;10/04/2024 04:28;USER002;COMPRA01;32;848.00€;Finalizado
OPE0033;10/04/2024 16:58;10/04/2024 02:27;USER002;COMPRA01;33;204.00€;Finalizado
OPE0034;10/04/2024 16:58;10/04/2024 18:45;USER004;COMPRA01;34;-51.00€;Finalizado
OPE0035;10/04/2024 16:58;10/04/2024 18:51;USER008;COMPRA01;35;-585.00€;Error
OPE0036;10/04/2024 16:58;10/04/2024 06:47;USER006;COMPRA01;36;638.00€;Correcto
OPE0037;10/04/2024 16:58;10/04/2024 21:41;USER006;COMPRA01;37;204.00€;Error
OPE0038;10/04/2024 16:58;10/04/2024 20:59;USER008;COMPRA01;38;595.00€;Correcto
OPE0039;10/04/2024 16:58;10/04/2024 16:30;USER002;COMPRA01;39;877.00€;Correcto
OPE0040;10/04/2024 16:58;10/04/2024 05:20;USER001;COMPRA01;40;-259.00€;Finalizado
OPE0041;10/04/2024 16:58;10/04/2024 08:44;USER005;COMPRA01;41;492.00€;Correcto
OPE0042;10/04/2024 16:58;10/04/2024 15:52;USER003;COMPRA01;42;-714.00€;Finalizado
OPE0043;10/04/2024 16:58;10/04/2024 10:28;USER002;COMPRA01;43;403.00€;Correcto
OPE0044;10/04/2024 16:58;10/04/2024 15:59;USER007;COMPRA01;44;-540.00€;Correcto
OPE0045;10/04/2024 16:58;10/04/2024 21:54;USER006;COMPRA01;45;-640.00€;Finalizado
OPE0046;10/04/2024 16:58;10/04/2024 00:47;USER002;COMPRA01;46;985.00€;Correcto
OPE0047;10/04/2024 16:58;10/04/2024 18:30;USER001;COMPRA01;47;357.00€;Correcto
OPE0048;10/04/2024 16:58;10/04/2024 19:16;USER002;COMPRA01;48;-961.00€;Finalizado
OPE0049;10/04/2024 16:58;10/04/2024 11:41;USER001;COMPRA01;49;595.00€;Correcto
OPE0050;10/04/2024 16:58;10/04/2024 00:44;USER004;COMPRA01;50;-183.00€;Correcto
